IDSTUD, MP61026, MP61273, MP61034, MP61040, MP61228, MP61166, MP61171, MP61222, MP61275, MP61027, MP61255, MP61021, MP61043, MP61151, MP61172, MP61223
51060311,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
51060319,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
51060327,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51110602,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
51110610,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1
51110618,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1
51110626,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1
51150401,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51150409,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1
51150417,1,1,1,1,0,,1,0,1,0,0,0,1,1,0,1
51180401,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,1
51180409,1,1,1,0,,1,1,1,1,1,1,0,1,1,1,1
51180417,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
51180425,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
51190308,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1
51190316,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1
51210105,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
51210113,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0
51220302,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0
51220310,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1
51220318,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
51300107,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
51300115,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
51300123,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1
51330805,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
51330813,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1
51330821,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1
51340702,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
51340710,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
51340718,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
51340726,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1
51350101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
51350109,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
51350117,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1
51410505,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1
51410513,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
51410521,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
51410529,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1
51420405,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
51420413,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
51420421,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1
51430201,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
51430209,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1
51430217,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51430225,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1
51460102,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1
51460110,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1
51460118,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
51470108,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1
51470116,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1
51470124,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
51480706,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1
51480714,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
51480722,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
51500507,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
51500515,1,1,,0,,1,1,1,0,1,,0,1,1,1,1
51500523,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1
51540308,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1
51540316,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51550506,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1
51550514,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
51550522,1,1,1,1,0,1,0,0,1,0,0,0,1,,0,1
51570106,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
51570114,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1
51570122,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
51570130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51630606,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
51630614,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
51630622,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51660403,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1
51660411,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1
51660419,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1
51660427,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
51670101,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
51670109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51670117,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1
51680206,1,1,0,1,0,1,1,1,1,1,0,0,1,,0,1
51680214,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
51690506,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1
51690514,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51690522,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
